2018-12-24 19:29:15.410 ,9128283H1,100-016,10000000,20000000,BID,100-020,10000000,20000000,OFFER,
2018-12-24 19:29:15.411 ,9128283H1,100-006,20000000,40000000,BID,100-012,20000000,40000000,OFFER,
2018-12-24 19:29:15.411 ,9128283H1,99-317,10000000,20000000,BID,100-001,10000000,20000000,OFFER,
2018-12-24 19:29:15.411 ,9128283H1,99-130,20000000,40000000,BID,99-13+,20000000,40000000,OFFER,
2018-12-24 19:29:15.411 ,9128283H1,99-042,10000000,20000000,BID,99-04+,10000000,20000000,OFFER,
2018-12-24 19:29:15.411 ,9128283H1,99-071,20000000,40000000,BID,99-075,20000000,40000000,OFFER,
2018-12-24 19:29:15.411 ,9128283H1,100-25+,10000000,20000000,BID,100-256,10000000,20000000,OFFER,
2018-12-24 19:29:15.412 ,9128283H1,99-010,20000000,40000000,BID,99-01+,20000000,40000000,OFFER,
2018-12-24 19:29:15.412 ,9128283H1,99-180,10000000,20000000,BID,99-182,10000000,20000000,OFFER,
2018-12-24 19:29:15.412 ,9128283H1,100-132,20000000,40000000,BID,100-136,20000000,40000000,OFFER,
2018-12-24 19:29:15.412 ,9128283H1,99-080,10000000,20000000,BID,99-082,10000000,20000000,OFFER,
2018-12-24 19:29:15.412 ,9128283H1,100-172,20000000,40000000,BID,100-176,20000000,40000000,OFFER,
2018-12-24 19:29:15.412 ,9128283H1,99-23+,10000000,20000000,BID,99-236,10000000,20000000,OFFER,
2018-12-24 19:29:15.413 ,9128283H1,100-082,20000000,40000000,BID,100-086,20000000,40000000,OFFER,
2018-12-24 19:29:15.413 ,9128283H1,100-271,10000000,20000000,BID,100-273,10000000,20000000,OFFER,
2018-12-24 19:29:15.413 ,9128283H1,99-067,20000000,40000000,BID,99-073,20000000,40000000,OFFER,
2018-12-24 19:29:15.413 ,9128283H1,99-026,10000000,20000000,BID,99-030,10000000,20000000,OFFER,
2018-12-24 19:29:15.413 ,9128283H1,100-155,20000000,40000000,BID,100-161,20000000,40000000,OFFER,
2018-12-24 19:29:15.413 ,9128283H1,99-21+,10000000,20000000,BID,99-216,10000000,20000000,OFFER,
2018-12-24 19:29:15.413 ,9128283H1,99-245,20000000,40000000,BID,99-251,20000000,40000000,OFFER,
2018-12-24 19:29:15.414 ,9128283H1,99-086,10000000,20000000,BID,99-090,10000000,20000000,OFFER,
2018-12-24 19:29:15.414 ,9128283H1,99-31+,20000000,40000000,BID,100-000,20000000,40000000,OFFER,
